date,coin_id,price,volume,market_cap,daily_return_pct,price_7d_ma,volume_7d_ma
2025-09-06,official-trump,8.361324114087779,230161099.7617396,1670944877.4295242,0.8775840372633681,8.399729995293812,489951014.528549
2025-09-07,official-trump,8.356139647764252,103454566.21270455,1671211510.9115992,-0.06200532658209301,8.39814485882832,484167710.20673865
2025-09-08,official-trump,8.486572391461173,203698236.19660705,1697958597.4897814,1.5609210615791902,8.379253634231496,421120817.8411921
2025-09-09,official-trump,8.616992633996757,275318031.9183955,1722654296.411505,1.536783480063253,8.419366830349976,242350234.0992096
2025-09-10,official-trump,8.678309754796185,366589877.17679584,1735232111.9188144,0.7115837671429981,8.460157614197358,228286749.5501496
2025-09-11,official-trump,8.81827193785436,292232854.47194844,1763675866.923064,1.6127816016341612,8.515170756682977,237637891.2018962
2025-09-12,official-trump,8.82001521171341,248781159.2687624,1764057643.4156756,0.019768882966353374,8.591089384524846,245747975.00099322
2025-09-13,official-trump,8.988165158191851,329737681.20370847,1797461898.9947474,1.9064586901747171,8.680638105111141,259973200.92127445
2025-09-14,official-trump,9.245832771338309,568346318.531465,1848247624.15968,2.8667431963198764,8.807737122764577,326386308.3953832
2025-09-15,official-trump,8.743691556630322,404516136.09268814,1747609096.7458465,-5.431000399061981,8.844468432074455,355074579.80910903
2025-09-16,official-trump,8.528001626480973,304431240.2771219,1705142329.2811167,-2.46680625399911,8.831755431000772,359233609.5746413
2025-09-17,official-trump,8.603067977637945,182744955.3495095,1720829664.995424,0.8802337809584504,8.821006605692453,332970049.3136004
2025-09-18,official-trump,8.701346108630972,271840397.01654625,1740274646.1339655,1.1423614372045199,8.804302915803397,330056841.1056858
2025-09-19,official-trump,8.667124096272483,235112219.48061,1733051055.6103003,-0.39329561117611433,8.782461327883265,328104135.42166406
2025-09-20,official-trump,8.409823553603767,261278078.42493093,1680032002.081031,-2.968695726641024,8.699841098656396,318324192.16755295
2025-09-21,official-trump,8.443093714518257,143835870.82780638,1689163207.9090436,0.3956106891235933,8.585164090539246,257679842.49560174
2025-09-22,official-trump,8.376828397073156,153171214.2999081,1675495827.196755,-0.7848464044779568,8.532755067745365,221773425.09663317
2025-09-23,official-trump,7.689492768257119,610587138.1547922,1537869588.8585114,-8.205201255599203,8.4129680879991,265509981.93630034
2025-09-24,official-trump,7.632462199661619,197458836.9848448,1526630832.35394,-0.741668798115358,8.274310119716768,267611965.02706257
